Anonymous-photographer-ID,Image-ID,Image-url,Time,Longitude,Latitude,Exposure,X-center,Y-center,X-radius,Y-radius,X-Regulus,Y-Regulus
c80f57955cd4ce37d75c087d7244ef993e525376f35a7a17b0810b259e7aa4a9,097db2ec62a07b8ffd2ca6b318f446b7eb199909ccb3936359078f88a9f61c44,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/097db2ec62a07b8ffd2ca6b318f446b7eb199909ccb3936359078f88a9f61c44.jpg,2017-08-21 18:46:02 UTC,-80.07727899999999,33.003542833333334,1/10,nan,nan,nan,nan,nan,nan
c80f57955cd4ce37d75c087d7244ef993e525376f35a7a17b0810b259e7aa4a9,1dd4b5f4e3e7eceaf54b4bc11324b36fe878590a4880f2ba4ab355c380dc2b6d,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/1dd4b5f4e3e7eceaf54b4bc11324b36fe878590a4880f2ba4ab355c380dc2b6d.jpg,2017-08-21 18:46:42 UTC,-80.07727899999999,33.003542833333334,1/10,nan,nan,nan,nan,nan,nan
5cc0304555b3eb9ae09833bf745382c9888a970de8a3e62f5d3ea04ad901b6b2,996b3291a6c05ff790c95c75eb19ccc3e51100337416d9e0fe17dd85dd28eb80,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/996b3291a6c05ff790c95c75eb19ccc3e51100337416d9e0fe17dd85dd28eb80.jpg,2017-08-21 17:47:26 UTC,-104.78086111111111,42.318538888888895,1/40,2671.5,891.5,353.5,354.5,0.0,0.0
d5ce20ec978e9c94b72c585ecb46ec03200c4dab332df0b069108054fcf55805,dcf08c4de3e99e27d74aea3e04f4cf7896c206f7a0c9a6e71238b13bb79029f8,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/dcf08c4de3e99e27d74aea3e04f4cf7896c206f7a0c9a6e71238b13bb79029f8.jpg,2017-08-21 17:47:15 UTC,-104.78086111111111,42.318538888888895,1/4,2718.5,1910.5,348.5,348.5,1189.0,1161.0
d5ce20ec978e9c94b72c585ecb46ec03200c4dab332df0b069108054fcf55805,7fcaaa8355c27333dc40f6ce971340b1a8364e056de100c6f45080fa25904db6,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/7fcaaa8355c27333dc40f6ce971340b1a8364e056de100c6f45080fa25904db6.jpg,2017-08-21 17:47:40 UTC,-104.78086111111111,42.318538888888895,0.8,2729.0,1831.0,333.0,334.0,1202.0,1082.0
d5ce20ec978e9c94b72c585ecb46ec03200c4dab332df0b069108054fcf55805,dde4815410c198e55157055205ce41c981101f5d1b082692c3b241b562673fc0,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/dde4815410c198e55157055205ce41c981101f5d1b082692c3b241b562673fc0.jpg,2017-08-21 17:47:22 UTC,-104.78086111111111,42.318538888888895,1/40,2654.0,1797.5,353.0,353.5,1124.0,1046.0
d0528af8ae77cf53a350c00e08e8787d716314e15281ddc6b569f3a18dde7a47,8725c6681e8c87fe068da00164496cfdba9a57902db757dc786681a1e47d5566,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/8725c6681e8c87fe068da00164496cfdba9a57902db757dc786681a1e47d5566.jpg,2017-08-21 17:41:45 UTC,-107.24610555555556,43.07508888888889,1/30,nan,nan,nan,nan,nan,nan
c9265f1920c3225780c8dc912b48ae35e433c0b8254479bfdafe2adb95c3804d,2f71305efafb178187d0113b7fdb471b3e71410755ab023efd0188b0d55b6c15,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/2f71305efafb178187d0113b7fdb471b3e71410755ab023efd0188b0d55b6c15.jpg,2017-08-21 17:35:16 UTC,-111.81820555555555,43.96315833333334,1/80,1123.0,812.0,134.0,134.0,0.0,0.0
c9265f1920c3225780c8dc912b48ae35e433c0b8254479bfdafe2adb95c3804d,3d15bef92d9383c79f7f7fea59c4244afa676a2a2949f705fa1ccf6f9566204a,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/3d15bef92d9383c79f7f7fea59c4244afa676a2a2949f705fa1ccf6f9566204a.jpg,2017-08-21 17:34:27 UTC,-111.81820555555555,43.96315833333334,1/320,2495.0,1831.0,324.0,324.0,0.0,0.0
c9265f1920c3225780c8dc912b48ae35e433c0b8254479bfdafe2adb95c3804d,c1bc606033263c63bd24950c6205c77aba6daaa17a20091b75d054833fd7b0c4,https://storage.googleapis.com/gcs-public-data--eclipse-megamovie/v0.3/c1bc606033263c63bd24950c6205c77aba6daaa17a20091b75d054833fd7b0c4.jpg,2017-08-21 17:33:48 UTC,-111.81820555555555,43.96315833333334,1/6400,nan,nan,nan,nan,nan,nan
